id,asset,year,rep_period,time_block_start,time_block_end,dual_min_output_flow_with_unit_commitment
1,AT_CCGT,2030,1,1,1,0.0
2,AT_CCGT,2030,1,2,2,0.0
3,AT_CCGT,2030,1,3,3,0.0
4,AT_CCGT,2030,1,4,4,0.0
5,AT_CCGT,2030,1,5,5,-0.0
6,AT_CCGT,2030,1,6,6,-0.0
7,AT_CCGT,2030,1,7,7,0.0
8,AT_CCGT,2030,1,8,8,0.0
9,AT_CCGT,2030,1,9,9,0.0
10,AT_CCGT,2030,1,10,10,0.0
11,AT_CCGT,2030,1,11,11,0.0
12,AT_CCGT,2030,1,12,12,0.0
13,AT_CCGT,2030,1,13,13,0.0
14,AT_CCGT,2030,1,14,14,0.44903820997947586
15,AT_CCGT,2030,1,15,15,0.0
16,AT_CCGT,2030,1,16,16,0.0
17,AT_CCGT,2030,1,17,17,-0.0
18,AT_CCGT,2030,1,18,18,-0.0
19,AT_CCGT,2030,1,19,19,0.0
20,AT_CCGT,2030,1,20,20,0.0
21,AT_CCGT,2030,1,21,21,0.0
22,AT_CCGT,2030,1,22,22,0.0
23,AT_CCGT,2030,1,23,23,0.0
24,AT_CCGT,2030,1,24,24,0.0
25,AT_CCGT,2030,2,1,1,0.0
26,AT_CCGT,2030,2,2,2,0.0
27,AT_CCGT,2030,2,3,3,0.0
28,AT_CCGT,2030,2,4,4,0.0
29,AT_CCGT,2030,2,5,5,0.0
30,AT_CCGT,2030,2,6,6,0.0
31,AT_CCGT,2030,2,7,7,0.0
32,AT_CCGT,2030,2,8,8,0.0
33,AT_CCGT,2030,2,9,9,0.0
34,AT_CCGT,2030,2,10,10,0.0
35,AT_CCGT,2030,2,11,11,0.0
36,AT_CCGT,2030,2,12,12,0.0
37,AT_CCGT,2030,2,13,13,0.0
38,AT_CCGT,2030,2,14,14,0.0
39,AT_CCGT,2030,2,15,15,0.0
40,AT_CCGT,2030,2,16,16,0.0
41,AT_CCGT,2030,2,17,17,0.0
42,AT_CCGT,2030,2,18,18,0.0
43,AT_CCGT,2030,2,19,19,0.0
44,AT_CCGT,2030,2,20,20,0.0
45,AT_CCGT,2030,2,21,21,0.0
46,AT_CCGT,2030,2,22,22,0.0
47,AT_CCGT,2030,2,23,23,0.0
48,AT_CCGT,2030,2,24,24,0.0
